epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,426.376,0.68052,0.41969,0.0276,0.0149,0.97954,0.95161,0.9859,0.88928,0.50942,0.25468,0.0293,0.00351,0.00181093,0.00181093,0.00181093
38,439.412,0.64587,0.41856,0.02454,0.01665,0.98054,0.98387,0.99116,0.90517,0.46774,0.22607,0.03014,0.004,0.00180065,0.00180065,0.00180065
39,450.587,0.59606,0.41919,0.02691,0.0095,0.95011,0.96774,0.99133,0.90745,0.47486,0.2121,0.02856,0.00371,0.00179013,0.00179013,0.00179013
40,461.205,0.6634,0.38062,0.02636,0.01074,0.93747,0.9673,0.97164,0.88917,0.48219,0.29278,0.02707,0.00363,0.00177937,0.00177937,0.00177937
41,471.942,0.65592,0.40787,0.02661,0.00657,0.98387,0.98375,0.99301,0.90005,0.50621,0.20934,0.02923,0.00656,0.00176838,0.00176838,0.00176838
42,483.618,0.60302,0.37533,0.02471,0.00626,0.97908,0.95161,0.99286,0.90155,0.48251,0.22118,0.0284,0.003,0.00175716,0.00175716,0.00175716
43,495.585,0.61467,0.40942,0.02717,0.01147,0.98344,0.95761,0.99219,0.89607,0.51789,0.25225,0.02945,0.00299,0.00174571,0.00174571,0.00174571
44,506.235,0.63952,0.42902,0.0292,0.00876,1,0.98133,0.99454,0.88305,0.55313,0.19944,0.02847,0.0031,0.00173404,0.00173404,0.00173404
45,516.388,0.62357,0.39211,0.02613,0.00832,1,0.98177,0.99373,0.90247,0.49952,0.18475,0.02851,0.00275,0.00172215,0.00172215,0.00172215
46,526.386,0.59037,0.36326,0.02955,0.00848,0.96762,0.98387,0.99247,0.91087,0.45769,0.18887,0.02442,0.00254,0.00171004,0.00171004,0.00171004
47,536.453,0.61019,0.35842,0.0245,0.00845,1,0.94879,0.99345,0.90572,0.47584,0.20478,0.02593,0.00308,0.00169771,0.00169771,0.00169771
48,546.541,0.59628,0.35436,0.02703,0.0092,0.99906,0.96774,0.99117,0.90219,0.48136,0.19987,0.028,0.00327,0.00168518,0.00168518,0.00168518
49,556.956,0.64432,0.36814,0.02654,0.01076,0.9833,0.94953,0.98964,0.87873,0.54911,0.2493,0.02821,0.00471,0.00167244,0.00167244,0.00167244
50,567.238,0.62855,0.3703,0.02872,0.00928,0.98358,0.96615,0.98566,0.88197,0.49793,0.26938,0.02994,0.00808,0.0016595,0.0016595,0.0016595
51,577.354,0.59514,0.37482,0.02875,0.01363,0.9841,0.96774,0.98718,0.90042,0.46448,0.28092,0.02966,0.00328,0.00164636,0.00164636,0.00164636
52,587.501,0.61484,0.42973,0.02752,0.00742,0.98357,0.96561,0.99269,0.90775,0.49905,0.22798,0.02961,0.00303,0.00163303,0.00163303,0.00163303
53,597.54,0.60871,0.33955,0.0271,0.00903,0.99843,0.98387,0.99221,0.89354,0.48919,0.21195,0.02717,0.00345,0.0016195,0.0016195,0.0016195
54,607.69,0.6047,0.36125,0.02656,0.006,1,0.96569,0.98883,0.89798,0.49183,0.21882,0.03034,0.00381,0.0016058,0.0016058,0.0016058
55,617.739,0.6071,0.32547,0.02924,0.01149,1,0.97783,0.98898,0.91706,0.45693,0.21015,0.02926,0.00341,0.00159191,0.00159191,0.00159191
56,627.856,0.62197,0.33616,0.02829,0.00608,0.99568,0.98387,0.98991,0.91476,0.45426,0.2039,0.02668,0.00395,0.00157784,0.00157784,0.00157784
57,638.02,0.5609,0.30161,0.02329,0.0073,0.99833,0.98387,0.98902,0.91593,0.44227,0.23976,0.02684,0.00591,0.0015636,0.0015636,0.0015636
58,648.004,0.59064,0.39395,0.02853,0.00895,0.99674,0.95161,0.98689,0.89421,0.49689,0.2245,0.02979,0.00498,0.00154919,0.00154919,0.00154919
59,659.656,0.60329,0.37393,0.02834,0.00728,0.99146,0.96774,0.98741,0.87721,0.55815,0.36891,0.03068,0.00277,0.00153462,0.00153462,0.00153462
60,672.521,0.59232,0.34847,0.02849,0.00792,0.9826,0.98387,0.98797,0.88894,0.56878,0.28933,0.03272,0.00386,0.00151989,0.00151989,0.00151989
61,684.567,0.63125,0.37783,0.02865,0.01322,0.98429,0.98387,0.98869,0.87974,0.52688,0.23465,0.02824,0.00295,0.001505,0.001505,0.001505
62,695.346,0.55484,0.34551,0.02563,0.00829,0.99806,0.96774,0.98997,0.90305,0.4579,0.21051,0.02908,0.00308,0.00148996,0.00148996,0.00148996
63,706.076,0.54502,0.3378,0.02569,0.00457,1,0.93307,0.98264,0.87911,0.54876,0.26482,0.0337,0.00287,0.00147478,0.00147478,0.00147478
64,716.973,0.6164,0.39961,0.0274,0.00679,0.95025,0.98387,0.98808,0.90944,0.47546,0.23525,0.03227,0.00302,0.00145945,0.00145945,0.00145945
65,727.408,0.58169,0.3429,0.0253,0.00833,0.97198,0.96774,0.98764,0.91927,0.44785,0.24905,0.02818,0.00427,0.00144399,0.00144399,0.00144399
66,738.115,0.57318,0.37165,0.02724,0.01017,0.98337,0.96774,0.98852,0.91216,0.48517,0.22111,0.02884,0.00313,0.00142839,0.00142839,0.00142839
67,748.708,0.56025,0.33988,0.02332,0.00794,0.99901,0.98387,0.98991,0.90723,0.45593,0.20931,0.02859,0.0036,0.00141267,0.00141267,0.00141267
68,758.757,0.57679,0.3587,0.03151,0.00723,1,0.98158,0.98967,0.89524,0.50121,0.22353,0.03174,0.00355,0.00139682,0.00139682,0.00139682
69,768.865,0.54894,0.3368,0.02634,0.00692,0.99704,0.98387,0.99004,0.91036,0.46754,0.20813,0.03065,0.00354,0.00138086,0.00138086,0.00138086
70,779.146,0.53461,0.27645,0.02827,0.00658,0.96808,0.97834,0.99277,0.91934,0.46994,0.1952,0.02926,0.00337,0.00136478,0.00136478,0.00136478
71,789.622,0.61192,0.3759,0.02975,0.01142,0.98379,0.97898,0.99393,0.91575,0.47185,0.18067,0.0291,0.00299,0.0013486,0.0013486,0.0013486
72,799.987,0.5739,0.31995,0.02712,0.01057,0.99998,0.96774,0.99263,0.90653,0.5075,0.19763,0.03043,0.00345,0.00133231,0.00133231,0.00133231
73,810.114,0.54756,0.32228,0.02421,0.01043,0.99628,0.98387,0.99327,0.91423,0.48873,0.19276,0.028,0.00332,0.00131593,0.00131593,0.00131593
74,820.175,0.52254,0.27978,0.02536,0.00537,0.97819,0.95161,0.99033,0.91217,0.45846,0.21722,0.02779,0.00288,0.00129945,0.00129945,0.00129945
75,830.165,0.54531,0.31998,0.02506,0.00876,0.99796,0.96774,0.98804,0.9086,0.45566,0.22687,0.02866,0.00274,0.00128288,0.00128288,0.00128288
76,840.31,0.52779,0.31563,0.02966,0.01148,0.99476,0.96774,0.98866,0.918,0.44588,0.22318,0.02942,0.00306,0.00126623,0.00126623,0.00126623
77,850.416,0.54688,0.3523,0.02948,0.00713,0.98233,0.98387,0.98897,0.91928,0.4829,0.22389,0.0313,0.00409,0.0012495,0.0012495,0.0012495
78,860.471,0.53539,0.31016,0.02554,0.00934,0.98329,0.94928,0.98751,0.91614,0.4473,0.23418,0.0284,0.00363,0.0012327,0.0012327,0.0012327
79,870.547,0.5155,0.27748,0.02471,0.00698,0.99266,0.96774,0.98785,0.92614,0.42682,0.22318,0.02798,0.00527,0.00121583,0.00121583,0.00121583
80,880.562,0.56513,0.31062,0.02975,0.00663,0.98386,0.98306,0.98972,0.92576,0.39815,0.20365,0.02625,0.00363,0.0011989,0.0011989,0.0011989
81,890.59,0.54159,0.30176,0.02892,0.00349,1,0.98188,0.99033,0.929,0.43231,0.17962,0.02859,0.00403,0.00118191,0.00118191,0.00118191
82,903.556,0.51602,0.30392,0.02609,0.00649,1,0.981,0.99361,0.91698,0.44799,0.18444,0.02819,0.00445,0.00116487,0.00116487,0.00116487
