epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,178.259,0.55086,0.438,0.03061,0.00322,0.98326,0.94754,0.96617,0.85918,0.56933,0.31495,0.0391,0.00301,0.00181093,0.00181093,0.00181093
38,182.389,0.55038,0.50824,0.02978,0.00294,0.94973,0.91431,0.97985,0.90042,0.50385,0.29264,0.03851,0.00358,0.00180065,0.00180065,0.00180065
39,186.946,0.59228,0.52071,0.02707,0.00371,0.93293,0.89744,0.96982,0.87455,0.51537,0.34694,0.0378,0.00397,0.00179013,0.00179013,0.00179013
40,191.609,0.498,0.40468,0.02871,0.00324,0.93933,0.8871,0.96671,0.89034,0.44998,0.36093,0.03913,0.003,0.00177937,0.00177937,0.00177937
41,196.313,0.54875,0.4553,0.02725,0.00305,0.89651,0.97814,0.9847,0.89906,0.48302,0.26338,0.03851,0.00548,0.00176838,0.00176838,0.00176838
42,200.851,0.5909,0.48439,0.02867,0.00424,0.95275,0.95161,0.98871,0.88315,0.54085,0.2594,0.03723,0.00525,0.00175716,0.00175716,0.00175716
43,205.57,0.58229,0.51261,0.02946,0.00416,1,0.90084,0.98604,0.90286,0.47481,0.26868,0.03506,0.00367,0.00174571,0.00174571,0.00174571
44,210.252,0.56001,0.50641,0.02847,0.00318,0.94726,0.95161,0.98602,0.91129,0.46303,0.24221,0.03544,0.00311,0.00173404,0.00173404,0.00173404
45,214.831,0.50455,0.44338,0.02955,0.00286,0.93763,0.96987,0.9898,0.90703,0.48419,0.25514,0.03439,0.00283,0.00172215,0.00172215,0.00172215
46,219.186,0.49925,0.47569,0.02734,0.00279,0.94383,0.85484,0.97157,0.8894,0.46739,0.32272,0.03412,0.00297,0.00171004,0.00171004,0.00171004
47,223.376,0.4952,0.44974,0.02849,0.00221,0.96813,0.98001,0.99206,0.90201,0.5,0.22965,0.03258,0.00239,0.00169771,0.00169771,0.00169771
48,227.68,0.52171,0.44705,0.02825,0.00227,0.99009,0.87097,0.98005,0.89019,0.53266,0.31485,0.03483,0.0034,0.00168518,0.00168518,0.00168518
49,231.88,0.5089,0.42008,0.02791,0.00459,0.97899,0.87097,0.94861,0.86246,0.53505,0.38623,0.03457,0.00355,0.00167244,0.00167244,0.00167244
50,236.238,0.51001,0.42127,0.02648,0.00311,0.93553,0.93626,0.96842,0.86522,0.5309,0.33535,0.0335,0.00558,0.0016595,0.0016595,0.0016595
51,240.447,0.54575,0.51062,0.02562,0.00226,0.96567,0.90736,0.97916,0.87218,0.51808,0.33302,0.03509,0.00427,0.00164636,0.00164636,0.00164636
52,244.762,0.55853,0.45574,0.0265,0.0035,0.93593,0.94244,0.9789,0.88479,0.49476,0.30554,0.03513,0.00399,0.00163303,0.00163303,0.00163303
53,249.408,0.54348,0.45272,0.0249,0.00309,0.90748,0.94927,0.96901,0.89429,0.48589,0.3387,0.03603,0.00364,0.0016195,0.0016195,0.0016195
54,254.146,0.49461,0.36663,0.02518,0.00322,0.94459,0.8871,0.97175,0.89208,0.48161,0.32315,0.03514,0.00326,0.0016058,0.0016058,0.0016058
55,258.692,0.50084,0.39719,0.02715,0.00281,0.92308,0.96774,0.98567,0.89445,0.48626,0.24422,0.03626,0.00345,0.00159191,0.00159191,0.00159191
56,263.447,0.5031,0.39375,0.02819,0.00292,0.96074,0.98387,0.99163,0.89887,0.47988,0.23441,0.03877,0.00259,0.00157784,0.00157784,0.00157784
57,268.062,0.50705,0.4038,0.02884,0.00277,0.99178,0.96774,0.99366,0.89391,0.50387,0.22125,0.03733,0.00238,0.0015636,0.0015636,0.0015636
58,272.897,0.52935,0.38022,0.02674,0.00244,0.9063,0.98387,0.98622,0.87595,0.57269,0.27689,0.03983,0.0038,0.00154919,0.00154919,0.00154919
59,277.277,0.51516,0.34901,0.02934,0.00285,0.9361,1,0.98987,0.87684,0.5497,0.26829,0.03919,0.00342,0.00153462,0.00153462,0.00153462
60,281.48,0.5582,0.45851,0.02776,0.00453,0.97817,0.95161,0.98727,0.89522,0.4857,0.24294,0.03744,0.00416,0.00151989,0.00151989,0.00151989
61,285.623,0.45847,0.35063,0.02821,0.00284,0.9833,0.94966,0.98901,0.89369,0.4916,0.21848,0.03649,0.00386,0.001505,0.001505,0.001505
62,289.85,0.46823,0.35798,0.02657,0.00233,0.98386,0.98387,0.9925,0.89551,0.50884,0.20042,0.03603,0.00456,0.00148996,0.00148996,0.00148996
63,294.041,0.53165,0.46194,0.02981,0.00296,0.97561,1,0.99405,0.90679,0.50147,0.18904,0.03625,0.00269,0.00147478,0.00147478,0.00147478
64,298.138,0.48564,0.35578,0.0283,0.00264,0.95297,0.98053,0.9907,0.90525,0.46806,0.22345,0.03782,0.00438,0.00145945,0.00145945,0.00145945
65,302.108,0.52184,0.37322,0.03192,0.00247,0.98367,0.97155,0.99325,0.8973,0.4785,0.20622,0.0372,0.00311,0.00144399,0.00144399,0.00144399
66,306.352,0.51299,0.35165,0.0251,0.00347,1,0.95096,0.99147,0.89648,0.49195,0.23801,0.03698,0.00468,0.00142839,0.00142839,0.00142839
67,310.937,0.50038,0.40326,0.03182,0.00244,0.9297,0.95161,0.98563,0.8992,0.47644,0.25886,0.03529,0.00238,0.00141267,0.00141267,0.00141267
68,315.546,0.46419,0.3522,0.02912,0.00219,1,0.95064,0.99193,0.90505,0.47301,0.21613,0.03491,0.00206,0.00139682,0.00139682,0.00139682
69,319.745,0.48701,0.37831,0.02665,0.00329,0.93821,0.9797,0.98983,0.90573,0.47275,0.21394,0.03371,0.00227,0.00138086,0.00138086,0.00138086
70,324.087,0.49525,0.35812,0.02909,0.0027,0.99539,0.93548,0.9891,0.89578,0.49996,0.25407,0.03328,0.00254,0.00136478,0.00136478,0.00136478
71,328.471,0.43412,0.34512,0.02185,0.00324,0.98359,0.96656,0.99094,0.91402,0.47852,0.22283,0.03257,0.00279,0.0013486,0.0013486,0.0013486
72,332.681,0.48518,0.37913,0.02956,0.00318,0.99063,0.8871,0.98486,0.9069,0.45398,0.2784,0.03261,0.00354,0.00133231,0.00133231,0.00133231
73,336.701,0.49422,0.36953,0.02544,0.00317,0.99943,0.98387,0.99256,0.90805,0.45953,0.18963,0.0326,0.00409,0.00131593,0.00131593,0.00131593
74,340.81,0.43302,0.35886,0.0278,0.00224,1,0.9801,0.99338,0.9147,0.46129,0.19128,0.03378,0.00407,0.00129945,0.00129945,0.00129945
75,344.971,0.52204,0.36455,0.03307,0.00268,1,0.98169,0.99361,0.90677,0.48807,0.19935,0.03291,0.00366,0.00128288,0.00128288,0.00128288
76,349.149,0.45707,0.36025,0.02654,0.00254,0.99518,0.96774,0.99406,0.90627,0.49233,0.19482,0.03483,0.00266,0.00126623,0.00126623,0.00126623
77,353.33,0.43924,0.3113,0.02591,0.00392,0.98393,0.98737,0.99484,0.9152,0.46861,0.18526,0.03537,0.00278,0.0012495,0.0012495,0.0012495
78,357.412,0.47473,0.33906,0.02725,0.00228,1,0.96632,0.99274,0.90949,0.50473,0.2008,0.03507,0.00248,0.0012327,0.0012327,0.0012327
79,361.532,0.46174,0.30123,0.02839,0.00319,0.99561,0.96774,0.9938,0.91075,0.48978,0.18881,0.03577,0.00336,0.00121583,0.00121583,0.00121583
80,365.65,0.47883,0.35475,0.02776,0.00258,0.99852,0.96774,0.99407,0.91122,0.48941,0.24289,0.03669,0.00476,0.0011989,0.0011989,0.0011989
81,369.641,0.43385,0.29645,0.0303,0.00435,0.97216,0.98387,0.99227,0.91575,0.46743,0.20191,0.0365,0.00517,0.00118191,0.00118191,0.00118191
82,373.623,0.44742,0.33027,0.02938,0.00254,1,0.9822,0.99484,0.91668,0.45977,0.19177,0.03667,0.00491,0.00116487,0.00116487,0.00116487
83,377.763,0.46477,0.31174,0.02708,0.00221,0.99714,1,0.995,0.91945,0.44303,0.18145,0.03578,0.0036,0.00114778,0.00114778,0.00114778
84,381.843,0.43201,0.27663,0.02701,0.00248,0.98342,0.95686,0.99315,0.92095,0.44945,0.2095,0.03609,0.00251,0.00113065,0.00113065,0.00113065
85,385.911,0.44435,0.29989,0.02942,0.00235,1,0.96269,0.99362,0.91802,0.45995,0.19659,0.03632,0.00317,0.00111348,0.00111348,0.00111348
86,390.043,0.467,0.33099,0.02918,0.00227,0.98341,0.95603,0.9925,0.90294,0.49573,0.2081,0.03587,0.004,0.00109628,0.00109628,0.00109628
87,394.236,0.45524,0.33495,0.03207,0.00218,1,0.98035,0.99484,0.92263,0.4728,0.17257,0.03671,0.00359,0.00107906,0.00107906,0.00107906
88,398.377,0.45845,0.36059,0.03227,0.00277,0.95203,1,0.99259,0.91237,0.44916,0.18131,0.03609,0.00251,0.00106181,0.00106181,0.00106181
89,402.367,0.40221,0.28659,0.0254,0.0022,0.97702,0.96774,0.99256,0.9241,0.4446,0.20298,0.03513,0.00279,0.00104455,0.00104455,0.00104455
90,406.364,0.44722,0.33203,0.02923,0.00256,0.98373,0.97544,0.99393,0.92584,0.43554,0.17401,0.0339,0.00258,0.00102728,0.00102728,0.00102728
91,410.645,0.46047,0.35466,0.02636,0.00192,0.99784,0.98387,0.99469,0.93351,0.42477,0.27577,0.03335,0.0031,0.00101,0.00101,0.00101
92,414.794,0.42611,0.27769,0.02919,0.00334,0.98131,1,0.99452,0.93711,0.41868,0.20239,0.03361,0.00357,0.000992722,0.000992722,0.000992722
93,418.759,0.42023,0.28054,0.02907,0.00198,0.96868,0.99771,0.99388,0.92768,0.42651,0.3694,0.03362,0.00311,0.000975449,0.000975449,0.000975449
