epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,456.031,0.75761,0.57534,0.02769,0.01566,0.96653,0.93171,0.97826,0.86847,0.53913,0.32359,0.03164,0.00334,0.00181093,0.00181093,0.00181093
38,466.094,0.73098,0.53179,0.02518,0.01755,0.91982,0.95161,0.98052,0.89304,0.49672,0.29341,0.02954,0.00417,0.00180065,0.00180065,0.00180065
39,476.14,0.67011,0.58256,0.02781,0.01029,0.90388,0.91006,0.94591,0.84816,0.53682,0.38635,0.0319,0.00545,0.00179013,0.00179013,0.00179013
40,486.367,0.72429,0.57006,0.02694,0.01209,0.82535,0.9909,0.95934,0.86094,0.50071,0.36255,0.03064,0.0037,0.00177937,0.00177937,0.00177937
41,496.541,0.68737,0.56076,0.02611,0.01001,0.98387,0.98375,0.99363,0.86229,0.56495,0.26075,0.03303,0.00569,0.00176838,0.00176838,0.00176838
42,506.667,0.69988,0.53427,0.02698,0.00795,0.8919,0.93154,0.97452,0.86245,0.54824,0.32427,0.03122,0.00554,0.00175716,0.00175716,0.00175716
43,516.951,0.71647,0.51703,0.02854,0.0136,0.95155,0.95036,0.98625,0.89395,0.51832,0.26488,0.02926,0.00399,0.00174571,0.00174571,0.00174571
44,527.244,0.70723,0.56915,0.02897,0.0096,0.92182,0.95086,0.98039,0.85873,0.5971,0.31327,0.03334,0.00426,0.00173404,0.00173404,0.00173404
45,537.595,0.70502,0.55707,0.02759,0.0096,0.93436,0.91842,0.97548,0.86195,0.58178,0.3153,0.0336,0.00472,0.00172215,0.00172215,0.00172215
46,548.501,0.66074,0.54785,0.02862,0.01042,0.93975,0.91935,0.98001,0.86757,0.55851,0.30581,0.03144,0.00417,0.00171004,0.00171004,0.00171004
47,561.644,0.63392,0.4974,0.02437,0.01037,0.99228,0.91935,0.98394,0.88807,0.53618,0.31808,0.03224,0.00363,0.00169771,0.00169771,0.00169771
48,574.936,0.61212,0.48971,0.0265,0.01242,0.93213,0.91935,0.96992,0.87155,0.54739,0.363,0.02975,0.00417,0.00168518,0.00168518,0.00168518
49,585.833,0.66578,0.46694,0.02608,0.01252,0.99298,0.91935,0.96999,0.8648,0.52531,0.37132,0.02908,0.00327,0.00167244,0.00167244,0.00167244
50,596.327,0.6736,0.50947,0.02901,0.0106,0.89117,0.96774,0.96756,0.85815,0.57697,0.35971,0.03069,0.00348,0.0016595,0.0016595,0.0016595
51,607.311,0.65919,0.51151,0.0283,0.01436,0.9348,0.92504,0.97302,0.88023,0.50827,0.32505,0.03183,0.00433,0.00164636,0.00164636,0.00164636
52,617.746,0.68186,0.53105,0.02726,0.00827,0.9908,0.90323,0.98446,0.88795,0.51248,0.27728,0.03096,0.00339,0.00163303,0.00163303,0.00163303
53,628.345,0.69529,0.46067,0.02674,0.01003,0.99641,0.91935,0.97968,0.88826,0.53107,0.30123,0.02889,0.0044,0.0016195,0.0016195,0.0016195
54,638.917,0.65577,0.47898,0.02467,0.00697,0.9772,0.93548,0.98227,0.89572,0.49552,0.27827,0.02543,0.00364,0.0016058,0.0016058,0.0016058
