epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,1091.06,0.6685,0.49744,0.03015,0.01002,0.96591,0.98387,0.98728,0.8415,0.56423,0.30909,0.03301,0.00306,0.00181093,0.00181093,0.00181093
38,1117.8,0.67059,0.43178,0.03044,0.01567,0.95033,0.95161,0.97811,0.84307,0.59066,0.32226,0.03423,0.00483,0.00180065,0.00180065,0.00180065
39,1144.11,0.67756,0.5169,0.03117,0.00844,0.92294,0.93548,0.97115,0.82761,0.57495,0.40041,0.0352,0.00345,0.00179013,0.00179013,0.00179013
40,1170.82,0.77217,0.54803,0.03121,0.01358,0.87619,0.82258,0.9254,0.77571,0.62167,0.52252,0.03551,0.00321,0.00177937,0.00177937,0.00177937
41,1197.3,0.70655,0.57616,0.02872,0.00784,0.79384,0.87097,0.92135,0.80089,0.56805,0.53944,0.03311,0.00591,0.00176838,0.00176838,0.00176838
42,1231.61,0.66884,0.51453,0.02867,0.00683,0.82577,0.84093,0.8996,0.80581,0.52858,0.63394,0.03156,0.00304,0.00175716,0.00175716,0.00175716
43,1260.41,0.70538,0.56283,0.03121,0.01012,0.92026,0.93073,0.97199,0.85812,0.53252,0.36822,0.03188,0.00322,0.00174571,0.00174571,0.00174571
44,1289.88,0.67971,0.50154,0.03135,0.00765,0.94702,0.8871,0.94422,0.82168,0.57052,0.41158,0.03151,0.00434,0.00173404,0.00173404,0.00173404
45,1316.53,0.67493,0.46773,0.02837,0.00746,0.98111,0.83791,0.96214,0.83392,0.56388,0.37355,0.03295,0.00358,0.00172215,0.00172215,0.00172215
46,1343.4,0.64942,0.46928,0.03123,0.0103,0.86434,0.82212,0.93073,0.80329,0.56668,0.49065,0.0328,0.00443,0.00171004,0.00171004,0.00171004
47,1369.79,0.61348,0.3928,0.02721,0.00851,1,0.8199,0.93084,0.82432,0.51641,0.50645,0.03322,0.00288,0.00169771,0.00169771,0.00169771
48,1396.52,0.62894,0.42298,0.02823,0.00831,0.98244,0.90222,0.95638,0.85948,0.48283,0.34371,0.03351,0.00344,0.00168518,0.00168518,0.00168518
49,1423.32,0.67692,0.43805,0.02955,0.00876,1,0.83315,0.95894,0.85467,0.51035,0.36015,0.03662,0.00332,0.00167244,0.00167244,0.00167244
50,1453.78,0.64669,0.47738,0.0312,0.01112,1,0.8545,0.96371,0.84936,0.5434,0.3496,0.03687,0.00361,0.0016595,0.0016595,0.0016595
51,1485.78,0.66127,0.42044,0.03206,0.01413,0.98239,0.89998,0.96391,0.87399,0.4579,0.35482,0.03306,0.00306,0.00164636,0.00164636,0.00164636
52,1514.71,0.61624,0.4644,0.0299,0.00611,0.98268,0.91516,0.96532,0.88478,0.47937,0.29466,0.03407,0.00306,0.00163303,0.00163303,0.00163303
53,1543.02,0.66724,0.40378,0.02847,0.01217,0.96741,0.82258,0.94179,0.85754,0.45479,0.45206,0.0334,0.00312,0.0016195,0.0016195,0.0016195
54,1569.66,0.69883,0.45018,0.03178,0.00873,0.94718,0.90323,0.94801,0.84504,0.48638,0.51734,0.03179,0.00444,0.0016058,0.0016058,0.0016058
55,1596.16,0.60815,0.38466,0.02717,0.01388,0.86273,0.95161,0.96435,0.85579,0.48503,0.36893,0.03066,0.00382,0.00159191,0.00159191,0.00159191
56,1622.7,0.64805,0.42507,0.02972,0.0067,0.91884,0.95161,0.98338,0.88195,0.47751,0.30533,0.02992,0.0029,0.00157784,0.00157784,0.00157784
57,1649.15,0.61935,0.38729,0.02732,0.00764,0.95956,0.93548,0.98591,0.89038,0.48394,0.25798,0.02833,0.00299,0.0015636,0.0015636,0.0015636
58,1675.95,0.64086,0.39271,0.02796,0.00761,0.99169,0.91935,0.98355,0.88912,0.47791,0.2547,0.0312,0.00303,0.00154919,0.00154919,0.00154919
59,1710.84,0.65957,0.44501,0.02818,0.01045,1,0.89914,0.97852,0.88027,0.48547,0.28525,0.03042,0.00317,0.00153462,0.00153462,0.00153462
60,1739.79,0.58627,0.34745,0.02782,0.01171,0.95049,0.95161,0.9619,0.86058,0.48793,0.33299,0.03243,0.00296,0.00151989,0.00151989,0.00151989
61,1772.96,0.65648,0.42114,0.03043,0.01111,0.93086,0.95161,0.97995,0.8724,0.52901,0.29183,0.0355,0.00332,0.001505,0.001505,0.001505
62,1804.83,0.61328,0.39234,0.02923,0.00768,0.96298,0.8871,0.96822,0.86359,0.53618,0.32246,0.03503,0.00373,0.00148996,0.00148996,0.00148996
63,1831.9,0.61473,0.39251,0.02847,0.00645,0.99728,0.87097,0.9797,0.89605,0.47428,0.26031,0.03348,0.00241,0.00147478,0.00147478,0.00147478
64,1858.53,0.68886,0.48369,0.02894,0.00912,0.95023,0.91935,0.95095,0.8467,0.48534,0.38289,0.0331,0.00223,0.00145945,0.00145945,0.00145945
65,1885.18,0.60721,0.40178,0.02631,0.00897,0.97528,0.91935,0.97117,0.87345,0.50192,0.36502,0.03295,0.00258,0.00144399,0.00144399,0.00144399
66,1911.62,0.61723,0.37953,0.0286,0.01214,0.97653,0.93548,0.98075,0.90022,0.43526,0.29156,0.03121,0.00268,0.00142839,0.00142839,0.00142839
67,1945.04,0.61876,0.41521,0.02655,0.00742,0.98555,0.8871,0.97266,0.90392,0.41512,0.32335,0.0281,0.00268,0.00141267,0.00141267,0.00141267
68,1974.82,0.59532,0.38652,0.0299,0.01007,0.95108,0.9407,0.97772,0.88121,0.4636,0.33292,0.03063,0.00269,0.00139682,0.00139682,0.00139682
69,2003.84,0.58211,0.38558,0.0279,0.01004,0.98297,0.93082,0.98134,0.90018,0.45513,0.24168,0.02965,0.00322,0.00138086,0.00138086,0.00138086
70,2033.37,0.58303,0.38644,0.02979,0.00883,0.96663,0.93433,0.98748,0.90466,0.43269,0.23776,0.0305,0.00297,0.00136478,0.00136478,0.00136478
71,2060.76,0.63277,0.41295,0.0308,0.00984,0.96431,0.96774,0.99171,0.90493,0.44358,0.2178,0.03022,0.0027,0.0013486,0.0013486,0.0013486
72,2087.51,0.6078,0.38694,0.02802,0.00738,0.97933,0.95161,0.99111,0.89972,0.46926,0.21717,0.03328,0.00351,0.00133231,0.00133231,0.00133231
73,2114.09,0.62492,0.38526,0.02693,0.0075,0.98356,0.96489,0.99203,0.8855,0.49605,0.22173,0.03534,0.00451,0.00131593,0.00131593,0.00131593
74,2140.5,0.58075,0.37017,0.02973,0.00794,0.96806,0.97767,0.99189,0.86711,0.54441,0.24399,0.03421,0.00477,0.00129945,0.00129945,0.00129945
75,2170.25,0.61189,0.39806,0.02848,0.00807,0.9676,0.96352,0.99015,0.89269,0.47837,0.23203,0.03411,0.00355,0.00128288,0.00128288,0.00128288
76,2202.42,0.59147,0.39996,0.03169,0.01341,0.95297,0.98043,0.99183,0.88882,0.46476,0.26854,0.03452,0.00349,0.00126623,0.00126623,0.00126623
77,2232.34,0.59096,0.41148,0.03059,0.01026,0.9373,0.96448,0.9865,0.88195,0.47489,0.26197,0.03357,0.00399,0.0012495,0.0012495,0.0012495
78,2264.08,0.60273,0.39641,0.02892,0.01465,0.98262,0.95161,0.99014,0.88203,0.48421,0.24339,0.03307,0.00375,0.0012327,0.0012327,0.0012327
79,2293.83,0.55352,0.37656,0.02891,0.00822,0.94724,0.95161,0.98887,0.88811,0.44417,0.28579,0.03278,0.0043,0.00121583,0.00121583,0.00121583
80,2320.55,0.57467,0.36612,0.0313,0.00722,0.98353,0.96299,0.99133,0.91648,0.41235,0.20955,0.03542,0.00284,0.0011989,0.0011989,0.0011989
81,2346.73,0.56587,0.3447,0.03069,0.00518,0.96758,0.9628,0.99105,0.90692,0.42771,0.21945,0.03116,0.00269,0.00118191,0.00118191,0.00118191
82,2373.23,0.56488,0.30616,0.02868,0.00635,0.98381,0.9804,0.99436,0.91357,0.42617,0.19261,0.03067,0.00274,0.00116487,0.00116487,0.00116487
83,2400.3,0.54875,0.31246,0.02955,0.01337,1,0.98064,0.99399,0.92388,0.40909,0.1586,0.02868,0.00285,0.00114778,0.00114778,0.00114778
84,2434.49,0.51217,0.30908,0.02752,0.00538,1,0.91902,0.9834,0.9037,0.4178,0.27512,0.03103,0.00322,0.00113065,0.00113065,0.00113065
85,2463.44,0.55268,0.37943,0.0284,0.0102,0.97883,0.95161,0.98746,0.89814,0.44901,0.23582,0.03227,0.00293,0.00111348,0.00111348,0.00111348
86,2493,0.51509,0.34154,0.0269,0.00421,0.98071,0.95161,0.9907,0.92304,0.42727,0.20793,0.03203,0.00303,0.00109628,0.00109628,0.00109628
87,2521.67,0.53337,0.32938,0.0277,0.01118,1,0.95146,0.99329,0.90822,0.45862,0.18944,0.03325,0.00342,0.00107906,0.00107906,0.00107906
88,2547.96,0.58705,0.36023,0.03175,0.00791,0.95133,0.94593,0.98488,0.88194,0.50033,0.25708,0.03414,0.00286,0.00106181,0.00106181,0.00106181
89,2574.4,0.53657,0.34375,0.03053,0.0067,0.99246,0.95161,0.99143,0.90084,0.49524,0.20278,0.03179,0.00409,0.00104455,0.00104455,0.00104455
90,2601.1,0.54583,0.34629,0.03254,0.01034,0.98353,0.9633,0.98633,0.90299,0.4567,0.23532,0.03296,0.00308,0.00102728,0.00102728,0.00102728
91,2627.75,0.49964,0.33099,0.02765,0.0062,0.98129,0.96774,0.99332,0.91637,0.43213,0.18276,0.03231,0.00341,0.00101,0.00101,0.00101
92,2659.08,0.52698,0.35538,0.02433,0.00801,0.98327,0.94798,0.98725,0.92288,0.42322,0.22167,0.03089,0.00284,0.000992722,0.000992722,0.000992722
93,2690.02,0.50342,0.33331,0.02744,0.00628,0.9802,0.96774,0.9925,0.9156,0.42484,0.19884,0.03236,0.00281,0.000975449,0.000975449,0.000975449
94,2719.74,0.52242,0.28858,0.03033,0.0123,0.93743,1,0.99091,0.92041,0.41331,0.20227,0.03273,0.00349,0.000958187,0.000958187,0.000958187
95,2747.4,0.50082,0.32472,0.02817,0.01211,0.99764,0.93548,0.98674,0.92102,0.42298,0.20658,0.03074,0.00357,0.000940941,0.000940941,0.000940941
96,2773.85,0.53627,0.32942,0.02943,0.01217,0.98006,0.95161,0.9843,0.91828,0.43524,0.21785,0.02989,0.00304,0.000923716,0.000923716,0.000923716
97,2800.67,0.57604,0.32763,0.03241,0.00926,0.97666,0.95161,0.98622,0.91136,0.43268,0.2357,0.02899,0.00305,0.000906517,0.000906517,0.000906517
98,2827.32,0.52406,0.32096,0.0274,0.01243,0.95134,0.94602,0.98187,0.90632,0.44264,0.24829,0.02984,0.00272,0.000889349,0.000889349,0.000889349
99,2854.03,0.57324,0.3519,0.02788,0.01393,1,0.95087,0.98801,0.91592,0.42606,0.19613,0.02959,0.00295,0.000872219,0.000872219,0.000872219
100,2881.64,0.55072,0.31675,0.02823,0.00676,0.97973,0.96774,0.98363,0.90694,0.43442,0.26353,0.03083,0.00291,0.00085513,0.00085513,0.00085513
101,2915.61,0.54386,0.33171,0.02927,0.00484,0.98107,0.93548,0.98263,0.89352,0.45537,0.29443,0.03242,0.00308,0.000838088,0.000838088,0.000838088
102,2944.51,0.5462,0.32542,0.03203,0.01015,0.99664,0.95161,0.99035,0.90988,0.43304,0.20233,0.02894,0.00317,0.000821099,0.000821099,0.000821099
103,2973.56,0.53481,0.34168,0.02878,0.00824,0.98277,0.98387,0.9942,0.9225,0.42469,0.17696,0.02877,0.00321,0.000804167,0.000804167,0.000804167
104,3000.17,0.49209,0.29868,0.02791,0.00783,0.99627,0.98387,0.99484,0.89058,0.49797,0.17575,0.03139,0.00294,0.000787298,0.000787298,0.000787298
105,3027.32,0.50116,0.26915,0.02678,0.01283,0.96113,0.98387,0.98927,0.9147,0.45099,0.20485,0.02918,0.00296,0.000770497,0.000770497,0.000770497
106,3054.05,0.56842,0.34028,0.02542,0.0085,0.98261,0.98387,0.99276,0.93051,0.40919,0.17889,0.02916,0.00283,0.000753769,0.000753769,0.000753769
107,3080.82,0.53974,0.32282,0.02523,0.00699,0.95453,0.95161,0.98532,0.90544,0.44331,0.22145,0.03205,0.00289,0.000737119,0.000737119,0.000737119
108,3107.68,0.56231,0.38927,0.02793,0.00515,0.98247,0.96774,0.99296,0.91772,0.433,0.18034,0.0327,0.00298,0.000720552,0.000720552,0.000720552
109,3138.77,0.51831,0.32278,0.02545,0.00542,0.99748,0.93548,0.99233,0.91321,0.41905,0.19629,0.03035,0.00367,0.000704073,0.000704073,0.000704073
110,3169.12,0.4713,0.25878,0.02928,0.0083,0.98355,0.96448,0.9934,0.92242,0.43138,0.22211,0.0313,0.00311,0.000687688,0.000687688,0.000687688
111,3197.63,0.46454,0.25385,0.02713,0.01224,0.95129,0.945,0.98693,0.9297,0.38409,0.28494,0.0312,0.00363,0.0006714,0.0006714,0.0006714
112,3225.88,0.4979,0.30967,0.02528,0.00425,0.99805,0.98387,0.99469,0.93633,0.38271,0.17454,0.03129,0.00294,0.000655216,0.000655216,0.000655216
113,3252.5,0.50835,0.25937,0.02812,0.00793,0.99886,1,0.995,0.94337,0.37062,0.13419,0.03122,0.00292,0.000639139,0.000639139,0.000639139
114,3279.26,0.48294,0.25545,0.02787,0.00768,0.96805,0.97743,0.99136,0.9269,0.39723,0.23971,0.03101,0.00293,0.000623176,0.000623176,0.000623176
