epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,665.338,0.75718,0.73748,0.02743,0.00803,0.94682,0.90323,0.97253,0.84748,0.59094,0.40414,0.02985,0.00461,0.00181093,0.00181093,0.00181093
38,681.846,0.71789,0.72358,0.0263,0.01259,0.94809,0.88377,0.97119,0.85226,0.55405,0.38284,0.02992,0.00444,0.00180065,0.00180065,0.00180065
39,697.472,0.75316,0.70089,0.02866,0.00929,0.9466,0.91935,0.97859,0.86976,0.53859,0.32717,0.03103,0.00459,0.00179013,0.00179013,0.00179013
40,713.06,0.78804,0.74837,0.02795,0.01655,0.82149,0.96494,0.95838,0.8579,0.52441,0.36443,0.0283,0.00446,0.00177937,0.00177937,0.00177937
41,728.786,0.73239,0.71983,0.02894,0.00841,0.9615,0.93548,0.97796,0.86654,0.57739,0.32475,0.03244,0.0035,0.00176838,0.00176838,0.00176838
42,744.635,0.69536,0.63045,0.026,0.00673,0.93479,0.92493,0.98113,0.84402,0.58342,0.35281,0.02973,0.00449,0.00175716,0.00175716,0.00175716
43,760.626,0.77036,0.67082,0.02861,0.01085,0.98213,0.88652,0.9747,0.85557,0.59049,0.34148,0.02952,0.00362,0.00174571,0.00174571,0.00174571
44,780.336,0.70628,0.67523,0.02772,0.0139,0.94373,0.90323,0.96178,0.84716,0.56205,0.4074,0.02921,0.00344,0.00173404,0.00173404,0.00173404
45,800.634,0.68024,0.63893,0.02475,0.01325,0.93261,0.93548,0.95782,0.8533,0.52815,0.39751,0.02852,0.00409,0.00172215,0.00172215,0.00172215
46,816.995,0.66067,0.56757,0.02786,0.01079,0.96548,0.90214,0.96494,0.85985,0.51299,0.3894,0.03109,0.00319,0.00171004,0.00171004,0.00171004
47,833.418,0.67202,0.59151,0.02404,0.01002,0.95253,0.91935,0.96952,0.8751,0.47806,0.31676,0.02752,0.00334,0.00169771,0.00169771,0.00169771
48,850.495,0.66482,0.6222,0.02581,0.00939,0.94857,0.89244,0.97765,0.85451,0.55278,0.33413,0.03214,0.0035,0.00168518,0.00168518,0.00168518
49,866.591,0.70642,0.59412,0.02659,0.01375,0.94957,0.90323,0.97564,0.87988,0.48991,0.3446,0.03125,0.00551,0.00167244,0.00167244,0.00167244
50,882.206,0.71679,0.61058,0.02688,0.01557,0.96479,0.88386,0.9713,0.86482,0.50686,0.35022,0.03202,0.00506,0.0016595,0.0016595,0.0016595
51,897.786,0.71554,0.63848,0.02951,0.01586,0.98108,0.83623,0.97119,0.86366,0.54838,0.33119,0.02933,0.00403,0.00164636,0.00164636,0.00164636
52,914.118,0.75128,0.67269,0.02653,0.00664,0.93547,0.98387,0.98187,0.87579,0.56254,0.28139,0.02967,0.00388,0.00163303,0.00163303,0.00163303
53,929.848,0.70845,0.60932,0.02453,0.01095,0.94821,0.90323,0.97747,0.87383,0.53652,0.30351,0.03018,0.00387,0.0016195,0.0016195,0.0016195
54,945.484,0.71821,0.58597,0.02717,0.00875,0.88906,0.98387,0.98122,0.88533,0.52458,0.32639,0.03149,0.0051,0.0016058,0.0016058,0.0016058
55,961.271,0.69938,0.60572,0.02727,0.01482,0.89076,0.93548,0.97359,0.86272,0.53941,0.3427,0.03215,0.00405,0.00159191,0.00159191,0.00159191
56,976.922,0.72559,0.61173,0.02844,0.01048,0.8933,0.96774,0.98126,0.87033,0.53635,0.30938,0.03107,0.00431,0.00157784,0.00157784,0.00157784
57,992.822,0.67699,0.57427,0.02524,0.0086,0.91768,0.89905,0.96425,0.84242,0.54681,0.3933,0.034,0.00395,0.0015636,0.0015636,0.0015636
58,1009.42,0.74831,0.57144,0.02674,0.01357,0.85675,0.96467,0.97057,0.88401,0.4879,0.32091,0.02893,0.00322,0.00154919,0.00154919,0.00154919
59,1031.95,0.67473,0.57462,0.02574,0.00794,0.91688,0.93548,0.97993,0.88515,0.50322,0.28949,0.02816,0.0031,0.00153462,0.00153462,0.00153462
60,1048.96,0.66033,0.51989,0.02709,0.01119,0.90897,0.96638,0.98554,0.89692,0.50213,0.29093,0.02773,0.00377,0.00151989,0.00151989,0.00151989
61,1065.68,0.67608,0.5428,0.02936,0.01537,0.95948,0.93548,0.97974,0.88245,0.49006,0.28991,0.02766,0.00391,0.001505,0.001505,0.001505
